,index_x,index_y
0,2029,8358
1,2030,8358
2,13605,8358
3,11960,8358
4,11072,8358
5,6660,8358
6,3516,8358
7,4331,8358
8,13826,8358
9,13525,8358
10,13526,8358
11,12496,8358
12,10492,8358
13,10493,8358
14,11721,8358
15,15851,8358
16,9907,8358
17,13933,8358
18,4929,8358
19,15318,8358
20,11398,8358
21,4960,8358
22,7633,8358
23,6410,8358
24,7781,8358
25,879,8358
26,13238,8358
27,13239,8358
28,12982,8358
29,286,8358
30,11092,8358
31,9629,8358
32,15494,8358
33,15897,8358
34,15941,8358
35,2029,3251
36,2030,3251
37,12138,3251
38,13605,3251
39,15805,3251
40,3059,3251
41,15197,3251
42,14625,3251
43,11960,3251
44,11072,3251
45,13527,3251
46,7441,3251
47,6660,3251
48,3516,3251
49,12308,3251
50,13826,3251
51,15755,3251
52,15756,3251
53,13525,3251
54,13526,3251
55,13497,3251
56,13242,3251
57,12496,3251
58,13428,3251
59,9736,3251
60,10492,3251
61,10493,3251
62,11721,3251
63,15137,3251
64,15851,3251
65,9907,3251
66,10864,3251
67,12708,3251
68,13933,3251
69,5441,3251
70,5597,3251
71,14163,3251
72,1865,3251
73,13649,3251
74,5403,3251
75,5782,3251
76,15372,3251
77,4929,3251
78,15318,3251
79,11398,3251
80,1461,3251
81,4960,3251
82,7633,3251
83,3750,3251
84,302,3251
85,303,3251
86,13531,3251
87,6410,3251
88,7781,3251
89,10297,3251
90,11057,3251
91,13835,3251
92,13148,3251
93,14008,3251
94,10793,3251
95,3165,3251
96,6013,3251
97,879,3251
98,13301,3251
99,13938,3251
100,12204,3251
101,7107,3251
102,14422,3251
103,14845,3251
104,13238,3251
105,13239,3251
106,5880,3251
107,14089,3251
108,12982,3251
109,11092,3251
110,993,3251
111,5594,3251
112,3445,3251
113,2690,3251
114,14230,3251
115,15494,3251
116,12508,3251
117,15161,3251
118,15897,3251
119,9628,3251
120,11471,3251
121,11059,3251
122,6298,3251
123,3077,3251
124,16242,3251
125,12889,3251
126,15964,3251
127,10108,3251
128,14835,3251
129,10906,3251
130,2029,1498
131,2030,1498
132,11685,1498
133,10229,1498
134,10239,1498
135,13605,1498
136,18837,1498
137,15805,1498
138,7862,1498
139,3059,1498
140,17218,1498
141,12225,1498
142,5192,1498
143,16802,1498
144,7614,1498
145,16367,1498
146,15197,1498
147,13426,1498
148,14625,1498
149,11960,1498
150,11072,1498
151,15921,1498
152,11272,1498
153,10212,1498
154,5915,1498
155,17448,1498
156,8242,1498
157,7441,1498
158,11451,1498
159,18789,1498
160,6660,1498
161,16312,1498
162,3516,1498
163,12308,1498
164,4331,1498
165,13826,1498
166,15755,1498
167,15756,1498
168,13525,1498
169,13526,1498
170,13497,1498
171,18408,1498
172,2959,1498
173,14680,1498
174,13242,1498
175,12496,1498
176,967,1498
177,17963,1498
178,14707,1498
179,16871,1498
180,13816,1498
181,13817,1498
182,10492,1498
183,10493,1498
184,11721,1498
185,15137,1498
186,15851,1498
187,9907,1498
188,10864,1498
189,362,1498
190,12708,1498
191,13933,1498
192,17801,1498
193,17694,1498
194,5597,1498
195,14163,1498
196,1865,1498
197,2786,1498
198,16353,1498
199,12821,1498
200,18275,1498
201,9246,1498
202,17424,1498
203,15225,1498
204,17337,1498
205,18055,1498
206,5403,1498
207,15372,1498
208,4929,1498
209,15318,1498
210,4825,1498
211,11398,1498
212,1461,1498
213,16817,1498
214,4960,1498
215,19203,1498
216,19258,1498
217,16880,1498
218,19340,1498
219,17561,1498
220,302,1498
221,303,1498
222,13531,1498
223,6410,1498
224,7781,1498
225,18688,1498
226,10297,1498
227,17102,1498
228,14005,1498
229,14006,1498
230,9786,1498
231,12463,1498
232,18949,1498
233,7910,1498
234,13835,1498
235,16728,1498
236,16729,1498
237,10168,1498
238,7511,1498
239,16432,1498
240,5859,1498
241,18210,1498
242,13148,1498
243,9096,1498
244,14008,1498
245,3672,1498
246,19672,1498
247,3165,1498
248,6013,1498
249,14990,1498
250,879,1498
251,13301,1498
252,13938,1498
253,4192,1498
254,12204,1498
255,7107,1498
256,17716,1498
257,14827,1498
258,14828,1498
259,14422,1498
260,14845,1498
261,17158,1498
262,3025,1498
263,10350,1498
264,13238,1498
265,13239,1498
266,8756,1498
267,5880,1498
268,14089,1498
269,12982,1498
270,993,1498
271,7295,1498
272,3445,1498
273,2690,1498
274,9629,1498
275,9650,1498
276,848,1498
277,14230,1498
278,15494,1498
279,3122,1498
280,3123,1498
281,17001,1498
282,12592,1498
283,3085,1498
284,12508,1498
285,8248,1498
286,17170,1498
287,15161,1498
288,11707,1498
289,15897,1498
