,index,LABEL
0,0,0
1,1,0
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,0
9,9,0
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,0
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,0
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,0
58,58,1
59,59,0
60,60,1
61,61,1
62,62,1
63,63,1
64,64,0
65,65,1
66,66,1
67,67,1
68,68,0
69,69,1
70,70,1
71,71,1
72,72,0
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,0
79,79,1
80,80,1
81,81,1
82,82,0
83,83,1
84,84,1
85,85,1
86,86,0
87,87,1
88,88,1
89,89,1
90,90,1
91,91,0
92,92,1
93,93,1
94,94,1
95,95,0
96,96,0
97,97,1
98,98,1
99,99,0
100,100,0
101,101,1
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,0
111,111,1
112,112,0
113,113,0
114,114,0
115,115,0
116,116,0
117,117,0
118,118,0
119,119,0
120,120,0
121,121,0
122,122,0
123,123,0
124,124,0
125,125,1
126,126,0
127,127,0
128,128,0
129,129,0
130,130,0
131,131,1
132,132,1
133,133,0
134,134,0
135,135,0
136,136,1
137,137,1
138,138,1
139,139,0
140,140,1
141,141,1
142,142,1
143,143,1
144,144,1
145,145,0
146,146,0
147,147,0
148,148,1
149,149,0
150,150,0
151,151,0
152,152,0
153,153,0
154,154,0
155,155,0
156,156,0
157,157,0
158,158,0
159,159,0
160,160,0
161,161,0
162,162,0
163,163,0
164,164,0
165,165,0
166,166,0
167,167,0
168,168,0
169,169,0
170,170,0
171,171,0
172,172,0
173,173,0
174,174,0
175,175,0
176,176,0
177,177,1
178,178,0
179,179,1
180,180,0
181,181,1
182,182,0
183,183,1
184,184,1
185,185,0
186,186,0
187,187,0
188,188,1
189,189,0
190,190,0
191,191,1
192,192,0
193,193,1
194,194,0
195,195,1
196,196,0
197,197,0
198,198,1
199,199,0
200,200,0
201,201,0
202,202,0
203,203,0
204,204,0
205,205,0
206,206,1
207,207,0
208,208,1
209,209,0
210,210,0
211,211,1
212,212,1
213,213,0
214,214,1
215,215,0
216,216,0
217,217,1
218,218,1
219,219,1
220,220,0
221,221,0
222,222,0
223,223,1
224,224,0
225,225,0
226,226,1
227,227,0
228,228,1
229,229,0
230,230,0
231,231,0
232,232,1
233,233,1
234,234,0
235,235,0
236,236,1
237,237,0
238,238,0
239,239,0
240,240,0
241,241,1
242,242,1
243,243,0
244,244,0
245,245,1
246,246,0
247,247,1
248,248,1
249,249,1
250,250,1
251,251,1
252,252,1
253,253,1
254,254,1
255,255,1
256,256,1
257,257,1
258,258,1
259,259,1
260,260,1
261,261,1
262,262,1
263,263,1
264,264,1
265,265,1
266,266,0
267,267,1
268,268,0
269,269,1
270,270,0
271,271,0
272,272,0
273,273,0
274,274,0
275,275,0
276,276,0
277,277,0
278,278,1
279,279,0
280,280,1
281,281,1
282,282,1
283,283,0
284,284,0
285,285,0
286,286,1
287,287,1
288,288,0
289,289,1
290,290,0
291,291,0
292,292,0
293,293,0
294,294,0
295,295,0
296,296,0
297,297,0
298,298,0
299,299,0
300,300,0
301,301,0
302,302,1
303,303,1
304,304,1
305,305,1
306,306,0
307,307,0
308,308,0
309,309,0
310,310,0
311,311,1
312,312,1
313,313,0
314,314,0
315,315,1
316,316,0
317,317,1
318,318,1
319,319,1
320,320,0
321,321,1
322,322,1
323,323,1
324,324,1
325,325,0
326,326,1
327,327,0
328,328,1
329,329,1
330,330,0
331,331,1
332,332,0
333,333,0
334,334,1
335,335,0
336,336,0
337,337,1
338,338,0
339,339,0
340,340,0
341,341,0
342,342,0
343,343,1
344,344,0
345,345,0
346,346,0
347,347,0
348,348,0
349,349,0
350,350,0
351,351,0
352,352,0
353,353,1
354,354,0
355,355,0
356,356,0
357,357,0
358,358,1
359,359,1
360,360,0
361,361,0
362,362,1
363,363,0
364,364,0
365,365,0
366,366,0
367,367,1
368,368,1
369,369,0
370,370,0
371,371,1
372,372,0
373,373,0
374,374,1
375,375,1
376,376,0
377,377,0
378,378,0
379,379,0
380,380,0
381,381,0
382,382,1
383,383,1
384,384,0
385,385,0
386,386,0
387,387,0
388,388,0
389,389,1
390,390,0
391,391,0
392,392,1
393,393,0
394,394,0
395,395,0
396,396,0
397,397,0
398,398,1
399,399,0
400,400,1
401,401,0
402,402,0
403,403,0
404,404,1
405,405,0
406,406,1
407,407,0
408,408,0
409,409,0
410,410,0
411,411,0
412,412,0
413,413,0
414,414,1
415,415,0
416,416,1
417,417,0
418,418,0
419,419,1
420,420,1
421,421,0
422,422,1
423,423,1
424,424,0
425,425,0
426,426,0
427,427,1
428,428,1
429,429,0
430,430,0
431,431,1
432,432,1
433,433,1
434,434,0
435,435,0
436,436,0
437,437,1
438,438,0
439,439,0
440,440,0
441,441,1
442,442,1
443,443,1
444,444,1
445,445,0
446,446,0
447,447,1
448,448,0
449,449,1
450,450,0
451,451,1
452,452,0
453,453,1
454,454,1
455,455,0
456,456,0
457,457,0
458,458,0
459,459,1
460,460,1
461,461,0
462,462,1
463,463,1
464,464,0
465,465,1
466,466,0
467,467,0
468,468,1
469,469,0
470,470,1
471,471,0
472,472,0
473,473,1
474,474,0
475,475,0
476,476,0
477,477,0
478,478,0
479,479,1
480,480,0
481,481,1
482,482,0
483,483,0
484,484,1
485,485,1
486,486,0
487,487,1
488,488,1
489,489,1
490,490,1
491,491,0
492,492,0
493,493,0
494,494,0
495,495,1
496,496,1
497,497,0
498,498,0
499,499,1
500,500,0
501,501,1
502,502,0
503,503,0
504,504,0
505,505,1
506,506,1
507,507,0
508,508,0
509,509,0
510,510,1
511,511,0
512,512,0
513,513,1
514,514,1
515,515,0
516,516,0
517,517,1
518,518,0
519,519,0
520,520,1
521,521,0
522,522,1
523,523,0
524,524,0
525,525,0
526,526,0
527,527,0
528,528,0
529,529,0
530,530,0
531,531,0
532,532,0
533,533,0
534,534,1
535,535,1
536,536,1
537,537,0
538,538,0
539,539,1
540,540,1
541,541,0
542,542,0
543,543,0
544,544,0
545,545,0
546,546,1
547,547,1
548,548,1
549,549,0
550,550,0
551,551,0
552,552,1
553,553,0
554,554,0
555,555,0
556,556,0
557,557,0
558,558,0
559,559,0
560,560,1
561,561,0
562,562,0
563,563,0
564,564,1
565,565,0
566,566,1
567,567,0
568,568,0
569,569,0
570,570,0
571,571,1
572,572,0
573,573,0
574,574,0
575,575,0
576,576,0
577,577,0
578,578,0
579,579,0
580,580,1
581,581,0
582,582,0
583,583,0
584,584,1
585,585,0
586,586,0
587,587,1
588,588,1
589,589,0
590,590,0
591,591,1
592,592,1
593,593,1
594,594,0
595,595,1
596,596,0
597,597,1
598,598,0
599,599,0
600,600,0
601,601,0
602,602,0
603,603,0
604,604,1
605,605,0
606,606,1
607,607,1
608,608,1
609,609,0
610,610,0
611,611,0
612,612,0
613,613,1
614,614,0
615,615,0
616,616,0
617,617,0
618,618,0
619,619,0
620,620,1
621,621,1
622,622,0
623,623,1
624,624,0
625,625,1
626,626,0
627,627,0
628,628,0
629,629,1
630,630,0
631,631,0
632,632,1
633,633,1
634,634,1
635,635,1
636,636,0
637,637,1
638,638,0
